sigla, unidad_curricular, curso_modulo
IPL-1LQ, Introdução aos Processos Logísticos, 1° Téc Logística EAD - Quinta
MMA-3MT, Manuntenção Mecânica Aplicada, 3° Mecânica EAD - Terça Noite
WK, Treinamento Wordskills, Desenho CAD
PFM-AP, Processos de fabricação mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
IDP-AP, Introdução a Desenvolvimento de Projetos, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
SST-AP, Saúde e Segurança do Trabalho e Sustentabilidade dos Processos Industrias, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
GP-TFEV, Gestão de Pessoas, APB Assistente Administrtaivo - Turma Fevereiro
FORMS, Boas Práticas - Forms , Treinamento
LGP-BOT, Liderança e, Boticário
GP-MP, Gestão de Pessoas, APB Assistente Administrativo - Quarta e Sexta
IDP-AP, Introdução a Desenvolvimento de Projetos, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
SST-AP, Saúde e Segurança do Trabalho e Sustentabilidade dos Processos Industrias, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
FQP-AA2, Fundamentos de Qualidade e Produtividade, Aux Adm 2
RA-AA2, Rotinas Administrativas, Aux Adm 2
II-AA2, Introdução à Informática, Aux Adm 2
MCV-TN, Marketing Comercial e Vendas, APB Assistente Administrativo - Segunda e Terça
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
GPOL-MP, Gestão da Produção/Operações e Logística , APB Assistente Administrativo - Quarta e Sexta
DI-AI2, Digitação e Internet, Aux Info 2
PU-1M, Prática da Usinagem - UC Processos Básicos de Fabricação, 1° Téc Mecânica Presencial 
DPSE-4E, Desenvolvimento de Projetos de Sistemas Eletromecânicos, 4° Eletromecânica EAD - Sexta
PFM-LUAN, Processos de Fabricação Mecânica, 3° Mecânica - Luan
OMOCNC-OS, Operação de Máquinas Operatrizes CNC, 3° Ferramenteiro de Dispositivos - OneSubsea
CNC2M, Centro de Usinagem CNC, 2° Téc Mecânica Presencial
IFM-1E, Introdução a Fabricação Mecânica, 1° Téc Eletromecânica EAD - Sábado
TCNC2M, Torno CNC, 2° Téc Mecânica Presencial
AJ1, Ajustagem, Ajustagem - Turma 1 - Prefeitura
PFM-AP, Introdução a Corte/Soldagem e Conformação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
SST-FM, Saúde e Segurança no Trabalho, APB Ferramenteiro de Manutenção 
RFFTMI, Fundamentos da Tecnologia Mecânica I – Recuperação final, 1° Téc. Eletromecânica
DTSA-1AUT, Desenho Técnico Aplicado à Sistemas Automatizados - 6ª aula de 15, 1° Automação Presencial
